condition,protein,morphology,oxygen_levels,glucose_levels,morphology_death,glucose_death,oxygen_death,H2O_levels,NH4Cl_levels,KH2PO4_levels,MgSO4_levels,NaCl_levels,CaCl2_levels,FeSO4_levels,ZnCl2_levels,nutrients_death,toxin_in_blood,toxin_death
perturb,protein_23,0.9935840986286333,5374.28515625,51.044498443603516,0.0,1.0,0.0,52.8702507019043,68.19349670410156,60.39400100708008,54.41749954223633,63.041751861572266,19.582000732421875,43.46049880981445,59.39950180053711,1.0,0.0,0.0
perturb,protein_24,0.9935840986286333,5203.84619140625,54.74174880981445,0.0,1.0,0.0,52.186500549316406,66.52124786376953,58.78675079345703,55.80324935913086,62.68349838256836,23.729249954223633,45.724998474121094,59.37474822998047,1.0,0.0,0.0
perturb,protein_25,0.9935840986286333,5258.7978515625,56.68075180053711,0.0,1.0,0.0,57.549251556396484,69.49700164794922,61.48125076293945,58.59000015258789,65.60299682617188,25.111249923706055,48.189998626708984,62.91524887084961,1.0,0.0,0.0
perturb,protein_26,0.9935840986286333,5296.01416015625,82.97274780273438,0.0,1.0,0.0,83.52649688720703,93.94125366210938,85.94100189208984,83.76374816894531,90.40875244140625,45.80849838256836,74.88925170898438,86.51499938964844,3.0,0.0,0.0
perturb,protein_27,0.9935840986286333,5239.23876953125,84.2249984741211,0.0,1.0,0.0,84.8272476196289,97.54450225830078,89.864501953125,86.1717529296875,91.62825012207031,51.61674880981445,75.99124908447266,90.52625274658203,3.0,0.0,0.0
perturb,protein_28,0.9935840986286333,5172.28564453125,60.811500549316406,0.0,1.0,0.0,62.54475021362305,71.0530014038086,64.90550231933594,61.7552490234375,68.73224639892578,30.347000122070312,51.60974884033203,65.44725036621094,2.0,0.0,0.0
perturb,protein_29,0.9935840986286333,4987.68408203125,77.59175109863281,0.0,1.0,0.0,80.04875183105469,90.63849639892578,84.23674774169922,79.43074798583984,86.75975036621094,45.44824981689453,68.54875183105469,83.69950103759766,3.0,0.0,0.0
perturb,protein_30,0.9935840986286333,5166.19140625,56.10300064086914,0.0,1.0,0.0,57.15224838256836,66.90850067138672,59.69200134277344,56.90800094604492,63.941001892089844,23.52025032043457,46.98749923706055,60.178749084472656,1.0,0.0,0.0
perturb,protein_31,0.9935840986286333,5269.525390625,72.59149932861328,0.0,1.0,0.0,74.90625,85.53150177001953,78.41925048828125,74.72025299072266,82.510498046875,41.484249114990234,65.0572509765625,78.77649688720703,3.0,0.0,0.0
perturb,protein_32,0.9935840986286333,5240.65087890625,56.1254997253418,0.0,1.0,0.0,57.21200180053711,67.25975036621094,60.683250427246094,57.09674835205078,63.833499908447266,23.726499557495117,46.56024932861328,61.3489990234375,1.0,0.0,0.0
