condition,protein,morphology,oxygen_levels,glucose_levels,morphology_death,glucose_death,oxygen_death,H2O_levels,NH4Cl_levels,KH2PO4_levels,MgSO4_levels,NaCl_levels,CaCl2_levels,FeSO4_levels,ZnCl2_levels,nutrients_death,toxin_in_blood,toxin_death
perturb,protein_34,0.5715319225898767,5912.97021484375,408.2489929199219,1.0,1.0,0.0,414.8792419433594,427.3192443847656,415.2539978027344,409.1752624511719,418.6524963378906,376.989990234375,398.4287414550781,414.7197570800781,7.0,12660415.0,1.0
perturb,protein_35,0.5764239365536091,5870.15576171875,405.666748046875,1.0,1.0,0.0,412.2847595214844,426.5199890136719,411.8857421875,406.177490234375,416.6400146484375,375.9075012207031,397.2349853515625,411.6499938964844,7.0,12610838.0,1.0
perturb,protein_36,0.5738533766701744,6156.4072265625,406.6812438964844,1.0,1.0,0.0,414.3395080566406,429.0690002441406,417.3080139160156,409.4252624511719,418.4912414550781,378.5487365722656,399.2272644042969,414.9735107421875,7.0,12659800.0,1.0
perturb,protein_37,0.5598103574032531,6037.01611328125,406.4772644042969,1.0,1.0,0.0,414.073486328125,429.0205078125,414.0042419433594,407.6547546386719,419.6549987792969,376.3905029296875,397.8482360839844,413.6997375488281,7.0,12667148.0,1.0
perturb,protein_38,0.5666061705988082,5959.0498046875,407.83026123046875,1.0,1.0,0.0,414.3445129394531,429.23150634765625,416.2977600097656,409.1344909667969,418.23724365234375,377.9104919433594,399.4442443847656,414.104736328125,7.0,12673527.0,1.0
perturb,protein_39,0.5639999999998974,5909.48095703125,406.4490051269531,1.0,1.0,0.0,412.8684997558594,428.7227478027344,415.3242492675781,407.8602600097656,417.73223876953125,377.4287414550781,397.614990234375,413.42926025390625,7.0,12683534.0,1.0
perturb,protein_40,0.5805176132277893,5839.171875,405.1142578125,1.0,1.0,0.0,411.9645080566406,423.5297546386719,410.8454895019531,406.2034912109375,415.96551513671875,374.8085021972656,396.4182434082031,409.2067565917969,7.0,12605551.0,1.0
perturb,protein_41,0.5608600583089357,5997.9951171875,407.93548583984375,1.0,1.0,0.0,414.0660095214844,429.06573486328125,414.33026123046875,409.1647644042969,418.1650085449219,377.11724853515625,398.6827392578125,414.56201171875,7.0,12683756.0,1.0
perturb,protein_42,0.5774495677232389,5982.67578125,404.25250244140625,1.0,1.0,0.0,409.9175109863281,425.8637390136719,411.4070129394531,404.4422607421875,415.8089904785156,373.0847473144531,394.3085021972656,411.55950927734375,7.0,12603523.0,1.0
perturb,protein_43,0.5710150171882448,6011.19091796875,406.354248046875,1.0,1.0,0.0,411.25250244140625,426.7455139160156,414.0062561035156,406.34674072265625,417.00750732421875,376.65850830078125,396.1755065917969,412.8494873046875,7.0,12630518.0,1.0
perturb,protein_44,0.5673861781243302,5821.4501953125,402.46575927734375,1.0,1.0,0.0,408.3062438964844,416.7927551269531,403.2777404785156,404.8682556152344,409.8710021972656,371.4747619628906,392.8710021972656,407.75048828125,7.0,12603321.0,1.0
